City,Duration,IncidentDate,PostedDate,Shape,State,Summary
Erie,3 minutes,8/21/2016 9:40:00 PM,8/25/2016 12:00:00 AM,Triangle,CO,4 triangular shaped craft in formation, no lights, no noise.
Columbia,5-Apr,8/21/2016 11:24:00 AM,8/25/2016 12:00:00 AM,Circle,MO,My mom called me out from where I was inside the house, telling me to come quick. She said that my dad had seen something.
Gillette,2 minutes,8/21/2016 10:58:00 AM,8/25/2016 12:00:00 AM,Circle,WY,Was driving mid morning and saw 6 spheres flying together and moving around each other. They were shiny and silver looking.
St. Petersburg,dident stop,8/21/2016 10:00:00 AM,9/15/2016 12:00:00 AM,Light,FL,Light in sky that looked like a star but just started to move left right all around it was not a star stars dont move
Asheboro,,8/21/2016 9:00:00 AM,8/25/2016 12:00:00 AM,Disk,NC,Looked like a flying saucer.
Obando (Colombia),20 minutes,8/21/2016 3:00:00 AM,8/25/2016 12:00:00 AM,,,People from Obando (Valle), South America, Colombia found a strange creature that looks alien in nature.
Milwaukie,1 minute,8/21/2016 2:45:00 AM,8/25/2016 12:00:00 AM,Oval,OR,Cant explain two red fireballs over Portland.
Little Rock,1 second,8/21/2016 1:01:00 AM,8/25/2016 12:00:00 AM,Unknown,AR,Large white spiraling light traveling at incredible speed.
M�laga (Granada)(Spain),30 minutes,8/20/2016 11:45:00 PM,8/25/2016 12:00:00 AM,Light,,Lights moving in groups of 3, forming shapes and blinking.
Windsor,10 seconds,8/20/2016 11:00:00 PM,8/25/2016 12:00:00 AM,Unknown,MO,Extremely bright white and red flashing lights outside, lighting up our bedroom.
Monroe,30 seconds,8/20/2016 11:00:00 PM,8/25/2016 12:00:00 AM,Sphere,NC,1 orb fading in and out, in the sky.
Chicago,30 minutes,8/20/2016 11:00:00 PM,9/2/2016 12:00:00 AM,Sphere,IL,My wife and I were in Chicago and we witnessed 8 orange/red/bright spheres slowly going overhead. I am ex Navy and stationed on the USS
Cedar Hills,10 minutes,8/20/2016 11:00:00 PM,8/25/2016 12:00:00 AM,Light,UT,35-50 white star-like lights, moving a cross sky, toward NSA building.
Brockton,45 seconds,8/20/2016 10:57:00 PM,8/25/2016 12:00:00 AM,Oval,MA,Orange oval craft with no sound.
San Diego (North County),5 minutes,8/20/2016 10:50:00 PM,8/25/2016 12:00:00 AM,Circle,CA,My wife and I both saw three orange lights in the sky, moving in different directions, and making no sound.
West Pawlet,15 minutes,8/20/2016 10:30:00 PM,8/25/2016 12:00:00 AM,Sphere,VT,Two craft pass slowly at low elevation, a few minutes apart.
Jamestown,2-3 minutes,8/20/2016 10:30:00 PM,8/25/2016 12:00:00 AM,Fireball,PA,Four fireball orbs visible over Pymatuning Lake.
Athens,2 minutes,8/20/2016 10:25:00 PM,8/25/2016 12:00:00 AM,Light,GA,Orange ball of light in the sky. ((anonymous report))
Burlington,15 seconds,8/20/2016 9:52:00 PM,8/25/2016 12:00:00 AM,Light,NJ,Object appears, brightens then disappear in night sky. ((NUFORC Note: Possible Iridium satellite? PD))
Southport,30 minutes,8/20/2016 9:45:00 PM,8/25/2016 12:00:00 AM,Triangle,FL,Unusual space craft making erratic movements(turns) in the evening sky(21:45) , Aug 20th.2016 over Southport, FL.
